region,plz
9675158,97357
9187162,83209
9471173,96170
9181134,86931
9679174,97279
9187163,83134
9374150,92715
9179145,82178
9184139,82049
9377148,95704
9181141,86932
9573124,90617
9184140,85640
9373156,90602
9278177,94369
9779201,86641
9190144,82399
9577163,91790
9187164,83561
9778209,86871
9172129,83486
9672142,97729
9679175,97236
9672143,97517
9471174,96179
9278178,94371
9183138,84431
9278179,94372
9187165,83064
9674187,96181
9677172,97848
9183139,83562
9471175,96182
9576137,91126
9478155,96257
9276138,94209
9362000,93047
9362000,93049
9362000,93051
9362000,93053
9362000,93055
9362000,93057
9362000,93059
9375190,93128
9475161,95194
9475162,95111
9771158,86508
9372149,93189
9476166,96358
9679176,97234
9574150,91244
9173140,83677
9186146,85293
9183140,84437
9186147,85084
9181135,86934
9779203,86756
9279134,94419
9171129,84571
9189139,83242
9679177,97280
9185153,86643
9674190,96184
9372150,93191
9774174,89364
9777183,87675
9780137,87549
9677175,97282
9277140,84367
9377149,92717
9771160,86510
9674153,97519
9777164,87668
9371146,92286
9777163,87669
9672145,97792
9273164,93339
9679179,97283
9187167,83083
9180128,82418
9375191,93104
9677177,97794
9277141,84326
9372151,93485
9679180,97222
9187168,83253
9276139,94269
9272140,94160
9571192,91740
9673156,97618
9675161,97348
9677178,97849
9473159,96472
9372153,93426
9774178,89365
9775149,89297
9779206,86703
9576142,91189
9186149,85296
9187169,83101
9185157,86701
9273165,93352
9174141,85244
9272141,94133
9676151,63934
9777165,87671
9163000,83022
9163000,83024
9163000,83026
9479145,95195
9277142,94439
9777166,87672
9573125,90574
9576143,91154
9776124,88167
9574152,90552
9671148,63860
9671148,97840
9571193,91541
9677181,97851
9678170,97520
9181137,86935
9182129,83700
9187170,83543
9576141,91187
9572149,91341
9190145,82401
9274176,84056
9679185,97228
9275143,94094
9679182,97285
9372154,92444
9574154,90607
9777168,87494
9178122,84104
9676153,63924
9675162,97355
9777167,87674
9275144,94161
9477151,95365
9571194,91622
9276142,94239
9189140,83324
9275145,94099
9372155,93486
9273166,93342
9673160,97633
9172130,83416
9571196,91623
9173141,83679
9671150,63877
9278182,94330
9272142,94163
9778190,87775
9673161,97616
9275146,94121
9187172,83122
9674195,97522
9673162,97657
9278184,94379
9272143,94566
9272143,94568
9177137,84427
9184141,82054
9180129,82442
9184142,82067
9184142,82069
9274179,84175
9475165,95197
9271148,94571
9187142,83135
9776125,88175
9575161,91443
9176160,85132
9772197,86872
9471185,96110
9181138,86937
9186151,85298
9375196,84069
9571198,91583
9771162,86576
9374154,92718
9479147,95706
9374155,95519
9189141,83259
9173142,82439
9173142,82444
9182131,83727
9471220,96132
9376159,92546
9371148,92287
9771163,86511
9472184,91289
9189142,83530
9574155,91220
9371150,92253
9476171,96277
9676156,63936
9172131,83458
9571199,91625
9272145,94572
9677182,97852
9677182,97907
9671152,63825
9271149,94508
9277144,84337
9673163,97659
9172132,83471
9183143,84573
9272147,94513
9471186,96185
9181139,86938
9672149,97795
9190148,86956
9179147,82296
9376160,92539
9187173,83137
9372157,93488
9678174,97453
9479150,95173
9571200,91626
9372158,93489
9185158,86529
9565000,91126
9190149,86986
9174143,85247
9772200,86830
9190151,86987
9574156,90571
9180131,82445
9376161,92421
9678175,97523
9777169,87645
9576132,90596
9278187,94374
9675165,97359
9376162,92548
9374156,92720
9475168,95126
9475169,95131
9574157,90592
9376163,92521
9376164,92447
9678176,97525
9662000,97421
9662000,97422
9662000,97424
9186152,85301
9773164,89443
9181140,86940
9183144,84419
9188132,82229
9777170,87637
9180132,82418
9189143,83358
9189143,83370
9189143,83376
9190152,82402
9675166,97340
9675167,97342
9479152,95100
9475171,95152
9775152,89250
9373159,92369
9678178,97526
9473165,96145
9373160,92358
9573126,90556
9472188,95517
9273172,93354
9189145,83313
9771165,86577
9776126,88138
9277145,84359
9279135,94436
9574158,91245
9575163,97215
9190153,82404
9375199,93161
9187174,83139
9577168,91807
9675169,97334
9679187,97286
9671153,63825
9679188,97255
9673167,97647
9473166,96242
9275148,94164
9778196,87776
9780139,87527
9187176,83564
9576147,91174
9572154,91080
9475174,95234
9180133,82418
9180133,82447
9472190,95469
9374157,92676
9272149,94518
9471189,96187
9376167,92549
9772202,86391
9678181,97488
9676158,97909
9477156,95346
9278189,94375
9475175,95236
9171130,84533
9176161,85092
9176161,85134
9372161,93491
9188139,82319
9189146,83224
9471191,96135
9573127,90547
9278190,94377
9476175,96361
9376168,92449
9771168,82297
9677186,97854
9190154,86989
9175137,85643
9177138,84439
9571205,91628
9476177,96349
9187177,83071
9271151,94569
9778199,87778
9674201,96188
9776127,88167
9673170,97640
9476178,96342
9671155,63811
9374158,92721
9777171,87675
9777172,87677
9673171,97618
9278192,94342
9184144,82064
9263000,94315
9471195,96129
9277147,94166
9376169,92551
9575165,91438
9575165,91484
9676160,63834
9371151,92237
9780140,87477
9673172,97528
9174146,85254
9174146,85259
9673173,97633
9675170,97320
9678183,97529
9672155,97717
9375201,93104
9189148,83362
9773170,89428
9189149,83342
9189150,83373
9779217,86704
9277148,84367
9374159,92723
9779218,86660
9679192,97285
9184145,82024
9177139,84416
9183145,84574
9375204,93105
9182132,83684
9172134,83317
9172134,83364
9171131,84576
9276143,94244
9476179,96355
9275149,94167
9376170,93158
9273175,93356
9376171,92552
9476180,96358
9181142,86943
9375205,93107
9576148,91177
9774185,86470
9376172,92554
9577172,91741
9679193,97288
9374160,92637
9674180,97531
9772207,86672
9479158,95707
9479159,95199
9672157,97711
9677189,97289
9679194,97291
9272150,94169
9477157,95349
9275150,94136
9274182,84184
9275151,94113
9372163,93464
9377154,95643
9176164,85135
9275152,94104
9189152,84529
9771169,86447
9171132,84513
9475181,95183
9374148,92724
9273177,93358
9372164,93455
9673174,97633
9189154,83301
9189154,83368
9189154,83371
9189154,83374
9189155,83278
9376173,92555
9575166,90619
9477158,95367
9372165,93492
9577173,91757
9677154,97855
